channel,placement,width,height,aspect_ratio,max_file_size,format,status,notes
instagram,feed_square,1080,1080,1:1,30MB,jpg,verify,verify vs official docs
instagram,feed_portrait,1080,1350,4:5,30MB,jpg,verify,verify vs official docs
instagram,story_reels,1080,1920,9:16,4GB,mp4,verify,verify vs official docs
facebook,feed,1080,1080,1:1,30MB,jpg,verify,verify vs official docs
tiktok,in_feed,1080,1920,9:16,,mp4,verify,verify vs official docs
youtube,thumbnail,1280,720,16:9,2MB,jpg,verify,verify vs official docs
linkedin,feed_square,1080,1080,1:1,,jpg,verify,verify vs official docs
x,feed_image,1600,900,16:9,5MB,jpg,verify,verify vs official docs
pinterest,standard_pin,1000,1500,2:3,20MB,jpg,verify,verify vs official docs
display,leaderboard,728,90,8:1,150KB,jpg,verify,verify vs official docs
display,medium_rectangle,300,250,6:5,150KB,jpg,verify,verify vs official docs
display,wide_skyscraper,160,600,4:15,150KB,jpg,verify,verify vs official docs
